"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
101,"1","2025-01-25T09:06:31.390893Z",220,"[{""start"":0,""end"":5,""text"":""पुलिस"",""labels"":[""NOUN""]},{""start"":18,""end"":21,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":22,""end"":25,""text"":""OBC"",""labels"":[""PROPN""]},{""start"":6,""end"":8,""text"":""ने"",""labels"":[""ADP""]},{""start"":6,""end"":8,""text"":""ने"",""labels"":[""VERB""]},{""start"":9,""end"":14,""text"":""बताया"",""labels"":[""VERB""]},{""start"":94,""end"":97,""text"":""गया"",""labels"":[""VERB""]},{""start"":15,""end"":17,""text"":""कि"",""labels"":[""CONJ""]},{""start"":26,""end"":32,""text"":""मोर्चा"",""labels"":[""NOUN""]},{""start"":33,""end"":35,""text"":""के"",""labels"":[""ADP""]},{""start"":36,""end"":41,""text"":""स्टेट"",""labels"":[""NOUN""]},{""start"":42,""end"":51,""text"":""सेक्रेटरी"",""labels"":[""NOUN""]},{""start"":52,""end"":57,""text"":""रंजीत"",""labels"":[""PROPN""]},{""start"":58,""end"":67,""text"":""श्रीनिवास"",""labels"":[""PROPN""]},{""start"":68,""end"":70,""text"":""के"",""labels"":[""ADP""]},{""start"":71,""end"":73,""text"":""घर"",""labels"":[""NOUN""]},{""start"":74,""end"":77,""text"":""में"",""labels"":[""ADP""]},{""start"":78,""end"":83,""text"":""घुसकर"",""labels"":[""VERB""]},{""start"":84,""end"":88,""text"":""हमला"",""labels"":[""NOUN""]},{""start"":89,""end"":93,""text"":""किया"",""labels"":[""VERB""]}]",21452.827999999998,"पुलिस ने बताया कि BJP OBC मोर्चा के स्टेट सेक्रेटरी रंजीत श्रीनिवास के घर में घुसकर हमला किया गया।","2025-01-25T09:06:31.390893Z"
102,"1","2025-01-25T09:21:08.901677Z",221,"[{""start"":0,""end"":9,""text"":""राष्ट्रीय"",""labels"":[""NOUN""]},{""start"":10,""end"":14,""text"":""जांच"",""labels"":[""NOUN""]},{""start"":15,""end"":21,""text"":""एजेंसी"",""labels"":[""NOUN""]},{""start"":23,""end"":26,""text"":""NIA"",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""ने"",""labels"":[""ADJ""]},{""start"":32,""end"":36,""text"":""वॉइस"",""labels"":[""PROPN""]},{""start"":37,""end"":39,""text"":""ऑफ"",""labels"":[""PROPN""]},{""start"":40,""end"":44,""text"":""हिंद"",""labels"":[""PROPN""]},{""start"":45,""end"":52,""text"":"" मैगजीन"",""labels"":[""NOUN""]},{""start"":53,""end"":55,""text"":""के"",""labels"":[""ADP""]},{""start"":56,""end"":63,""text"":""प्रकाशन"",""labels"":[""NOUN""]},{""start"":64,""end"":66,""text"":""और"",""labels"":[""CONJ""]},{""start"":67,""end"":70,""text"":""IED"",""labels"":[""PROPN""]},{""start"":71,""end"":73,""text"":""की"",""labels"":[""ADP""]},{""start"":74,""end"":81,""text"":""बरामदगी"",""labels"":[""NOUN""]},{""start"":82,""end"":87,""text"":""मामले"",""labels"":[""NOUN""]},{""start"":88,""end"":91,""text"":""में"",""labels"":[""ADP""]},{""start"":92,""end"":104,""text"":""जम्मू-कश्मीर"",""labels"":[""PROPN""]},{""start"":105,""end"":108,""text"":""में"",""labels"":[""ADP""]},{""start"":109,""end"":111,""text"":""16"",""labels"":[""NUM""]},{""start"":112,""end"":117,""text"":""जगहों"",""labels"":[""NOUN""]},{""start"":118,""end"":120,""text"":""पर"",""labels"":[""ADP""]},{""start"":121,""end"":130,""text"":""छापेमारी "",""labels"":[""NOUN""]},{""start"":130,""end"":132,""text"":""की"",""labels"":[""VERB""]}]",868.875,"राष्ट्रीय जांच एजेंसी (NIA) ने ‘वॉइस ऑफ हिंद’ मैगजीन के प्रकाशन और IED की बरामदगी मामले में जम्मू-कश्मीर में 16 जगहों पर छापेमारी की।","2025-01-25T09:21:08.901677Z"
103,"1","2025-01-25T09:26:04.348767Z",222,"[{""start"":0,""end"":4,""text"":""पहली"",""labels"":[""ADV""]},{""start"":5,""end"":7,""text"":""कम"",""labels"":[""ADJ""]},{""start"":12,""end"":13,""text"":"":"",""labels"":[""NOUN""]},{""start"":8,""end"":12,""text"":""खर्च"",""labels"":[""NOUN""]},{""start"":14,""end"":17,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":18,""end"":20,""text"":""को"",""labels"":[""ADP""]},{""start"":21,""end"":24,""text"":""UAE"",""labels"":[""NOUN""]},{""start"":25,""end"":28,""text"":""में"",""labels"":[""ADP""]},{""start"":29,""end"":34,""text"":""कराने"",""labels"":[""VERB""]},{""start"":35,""end"":37,""text"":""की"",""labels"":[""ADP""]},{""start"":38,""end"":42,""text"":""पहली"",""labels"":[""ADJ""]},{""start"":43,""end"":46,""text"":""वजह"",""labels"":[""NOUN""]},{""start"":47,""end"":49,""text"":""ये"",""labels"":[""PRON""]},{""start"":50,""end"":52,""text"":""है"",""labels"":[""VERB""]},{""start"":53,""end"":55,""text"":""कि"",""labels"":[""CONJ""]},{""start"":56,""end"":64,""text"":""इंग्लैंड"",""labels"":[""PROPN""]},{""start"":65,""end"":67,""text"":""की"",""labels"":[""ADP""]},{""start"":68,""end"":73,""text"":""तुलना"",""labels"":[""NOUN""]},{""start"":74,""end"":77,""text"":""में"",""labels"":[""ADP""]},{""start"":78,""end"":81,""text"":""UAE"",""labels"":[""PROPN""]},{""start"":82,""end"":85,""text"":""में"",""labels"":[""ADP""]},{""start"":86,""end"":89,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":90,""end"":95,""text"":""कराने"",""labels"":[""VERB""]},{""start"":96,""end"":98,""text"":""का"",""labels"":[""ADP""]},{""start"":99,""end"":103,""text"":""खर्च"",""labels"":[""NOUN""]},{""start"":104,""end"":106,""text"":""कम"",""labels"":[""ADJ""]},{""start"":107,""end"":112,""text"":""पड़ेगा"",""labels"":[""VERB""]}]",293.635,"पहली कम खर्च: IPL को UAE में कराने की पहली वजह ये है कि इंग्लैंड की तुलना में UAE में IPL कराने का खर्च कम पड़ेगा।","2025-01-25T09:26:04.348767Z"
104,"1","2025-01-25T09:29:56.447495Z",223,"[{""start"":0,""end"":4,""text"":""रैना"",""labels"":[""PROPN""]},{""start"":5,""end"":7,""text"":""की"",""labels"":[""ADP""]},{""start"":8,""end"":11,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":12,""end"":15,""text"":""में"",""labels"":[""ADP""]},{""start"":16,""end"":21,""text"":""39वीं"",""labels"":[""NUM""]},{""start"":22,""end"":28,""text"":""फिफ्टी"",""labels"":[""NUM""]},{""start"":30,""end"":35,""text"":""कोहली"",""labels"":[""PROPN""]},{""start"":36,""end"":41,""text"":""रोहित"",""labels"":[""PROPN""]},{""start"":42,""end"":44,""text"":""की"",""labels"":[""ADP""]},{""start"":45,""end"":51,""text"":""बराबरी"",""labels"":[""ADJ""]},{""start"":52,""end"":59,""text"":""कीसुरेश"",""labels"":[""PROPN""]},{""start"":60,""end"":64,""text"":""रैना"",""labels"":[""PROPN""]},{""start"":65,""end"":67,""text"":""ने"",""labels"":[""ADP""]},{""start"":68,""end"":71,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":72,""end"":75,""text"":""में"",""labels"":[""ADP""]},{""start"":76,""end"":80,""text"":""अपनी"",""labels"":[""PRON""]},{""start"":81,""end"":86,""text"":""39वीं"",""labels"":[""NUM""]},{""start"":87,""end"":93,""text"":""फिफ्टी"",""labels"":[""NUM""]},{""start"":94,""end"":98,""text"":""लगाई"",""labels"":[""VERB""]}]",229.498,"रैना की IPL में 39वीं फिफ्टी, कोहली-रोहित की बराबरी कीसुरेश रैना ने IPL में अपनी 39वीं फिफ्टी लगाई।","2025-01-25T09:29:56.447495Z"
105,"1","2025-01-25T09:41:36.651726Z",224,"[{""start"":0,""end"":5,""text"":""गैजेट"",""labels"":[""NOUN""]},{""start"":6,""end"":11,""text"":""डेस्क"",""labels"":[""NOUN""]},{""start"":13,""end"":20,""text"":""टेलीकॉम"",""labels"":[""NOUN""]},{""start"":21,""end"":30,""text"":""रेगुलेटरी"",""labels"":[""ADJ""]},{""start"":31,""end"":38,""text"":""अथॉरिटी"",""labels"":[""NOUN""]},{""start"":42,""end"":48,""text"":""इंडिया"",""labels"":[""NOUN""]},{""start"":39,""end"":41,""text"":""ऑफ"",""labels"":[""ADP""]},{""start"":50,""end"":54,""text"":""TRAI"",""labels"":[""PROPN""]},{""start"":56,""end"":58,""text"":""ने"",""labels"":[""ADP""]},{""start"":59,""end"":65,""text"":""मोबाइल"",""labels"":[""NOUN""]},{""start"":66,""end"":70,""text"":""नंबर"",""labels"":[""NOUN""]},{""start"":71,""end"":83,""text"":""पोर्टेबिलिटी"",""labels"":[""NOUN""]},{""start"":85,""end"":88,""text"":""MNP"",""labels"":[""PROPN""]},{""start"":90,""end"":92,""text"":""की"",""labels"":[""ADP""]},{""start"":93,""end"":97,""text"":""कीमत"",""labels"":[""NOUN""]},{""start"":98,""end"":100,""text"":""कम"",""labels"":[""ADJ""]},{""start"":101,""end"":103,""text"":""कर"",""labels"":[""VERB""]},{""start"":104,""end"":106,""text"":""दी"",""labels"":[""VERB""]},{""start"":107,""end"":110,""text"":""हैं"",""labels"":[""VERB""]}]",698.144,"गैजेट डेस्क. टेलीकॉम रेगुलेटरी अथॉरिटी ऑफ इंडिया (TRAI) ने मोबाइल नंबर पोर्टेबिलिटी (MNP) की कीमत कम कर दी हैं।","2025-01-25T09:41:36.651726Z"
106,"1","2025-01-25T09:43:10.947104Z",225,"[{""start"":0,""end"":4,""text"":""जबकि"",""labels"":[""CONJ""]},{""start"":6,""end"":8,""text"":""इस"",""labels"":[""DET""]},{""start"":9,""end"":14,""text"":""महीने"",""labels"":[""NOUN""]},{""start"":15,""end"":17,""text"":""की"",""labels"":[""ADP""]},{""start"":18,""end"":24,""text"":""शुरुआत"",""labels"":[""NOUN""]},{""start"":25,""end"":28,""text"":""में"",""labels"":[""ADP""]},{""start"":29,""end"":36,""text"":""कोलकाता"",""labels"":[""PROPN""]},{""start"":38,""end"":46,""text"":""अहमदाबाद"",""labels"":[""PROPN""]},{""start"":48,""end"":57,""text"":""गुरुग्राम"",""labels"":[""PROPN""]},{""start"":58,""end"":60,""text"":""और"",""labels"":[""CONJ""]},{""start"":61,""end"":68,""text"":""बैंगलोर"",""labels"":[""PROPN""]},{""start"":69,""end"":72,""text"":""में"",""labels"":[""ADP""]},{""start"":73,""end"":76,""text"":""Ace"",""labels"":[""PROPN""]},{""start"":77,""end"":85,""text"":""Mahotsav"",""labels"":[""PROPN""]},{""start"":86,""end"":91,""text"":""मनाया"",""labels"":[""VERB""]},{""start"":92,""end"":95,""text"":""गया"",""labels"":[""VERB""]}]",89.643,"जबकि, इस महीने की शुरुआत में कोलकाता, अहमदाबाद, गुरुग्राम और बैंगलोर में Ace Mahotsav मनाया गया।","2025-01-25T09:43:10.947104Z"
107,"1","2025-01-25T09:55:44.275170Z",226,"[{""start"":0,""end"":8,""text"":""यूटिलिटी"",""labels"":[""NOUN""]},{""start"":9,""end"":14,""text"":""डेस्क"",""labels"":[""NOUN""]},{""start"":16,""end"":22,""text"":""रिजर्व"",""labels"":[""ADJ""]},{""start"":39,""end"":42,""text"":""RBI"",""labels"":[""PROPN""]},{""start"":23,""end"":27,""text"":""बैंक"",""labels"":[""NOUN""]},{""start"":28,""end"":30,""text"":""ऑफ"",""labels"":[""ADP""]},{""start"":31,""end"":37,""text"":""इंडिया"",""labels"":[""PROPN""]},{""start"":44,""end"":46,""text"":""ने"",""labels"":[""ADP""]},{""start"":47,""end"":51,""text"":""फ्री"",""labels"":[""ADJ""]},{""start"":52,""end"":55,""text"":""ATM"",""labels"":[""PROPN""]},{""start"":56,""end"":67,""text"":""ट्रांजेक्शन"",""labels"":[""NOUN""]},{""start"":68,""end"":70,""text"":""से"",""labels"":[""ADP""]},{""start"":71,""end"":76,""text"":""जुड़े"",""labels"":[""VERB""]},{""start"":77,""end"":83,""text"":""नियमों"",""labels"":[""NOUN""]},{""start"":84,""end"":86,""text"":""को"",""labels"":[""ADP""]},{""start"":87,""end"":91,""text"":""लेकर"",""labels"":[""VERB""]},{""start"":92,""end"":102,""text"":""स्पष्टीकरण"",""labels"":[""NOUN""]},{""start"":103,""end"":107,""text"":""जारी"",""labels"":[""VERB""]},{""start"":108,""end"":112,""text"":""किया"",""labels"":[""VERB""]},{""start"":113,""end"":115,""text"":""है"",""labels"":[""VERB""]}]",750.937,"यूटिलिटी डेस्क. रिजर्व बैंक ऑफ इंडिया (RBI) ने फ्री ATM ट्रांजेक्शन से जुड़े नियमों को लेकर स्पष्टीकरण जारी किया है।","2025-01-25T09:55:44.275170Z"
108,"1","2025-01-25T09:59:56.892775Z",227,"[{""start"":0,""end"":3,""text"":""DIG"",""labels"":[""PROPN""]},{""start"":4,""end"":9,""text"":""नीलेश"",""labels"":[""PROPN""]},{""start"":10,""end"":14,""text"":""आनंद"",""labels"":[""PROPN""]},{""start"":15,""end"":19,""text"":""भरने"",""labels"":[""VERB""]},{""start"":20,""end"":22,""text"":""ने"",""labels"":[""ADP""]},{""start"":23,""end"":28,""text"":""न्यूज"",""labels"":[""NOUN""]},{""start"":29,""end"":35,""text"":""एजेंसी"",""labels"":[""NOUN""]},{""start"":36,""end"":39,""text"":""PTI"",""labels"":[""PROPN""]},{""start"":40,""end"":42,""text"":""को"",""labels"":[""ADP""]},{""start"":43,""end"":48,""text"":""बताया"",""labels"":[""VERB""]},{""start"":49,""end"":51,""text"":""कि"",""labels"":[""ADP""]},{""start"":52,""end"":57,""text"":""अकेले"",""labels"":[""ADJ""]},{""start"":58,""end"":64,""text"":""कुमाऊं"",""labels"":[""PROPN""]},{""start"":65,""end"":72,""text"":""क्षेत्र"",""labels"":[""NOUN""]},{""start"":73,""end"":76,""text"":""में"",""labels"":[""ADP""]},{""start"":77,""end"":81,""text"":""मरने"",""labels"":[""VERB""]},{""start"":82,""end"":87,""text"":""वालों"",""labels"":[""PART""]},{""start"":88,""end"":90,""text"":""की"",""labels"":[""ADP""]},{""start"":91,""end"":97,""text"":""संख्या"",""labels"":[""NOUN""]},{""start"":98,""end"":100,""text"":""40"",""labels"":[""NUM""]},{""start"":101,""end"":103,""text"":""के"",""labels"":[""ADP""]},{""start"":104,""end"":107,""text"":""पार"",""labels"":[""ADV""]},{""start"":108,""end"":110,""text"":""हो"",""labels"":[""VERB""]},{""start"":111,""end"":113,""text"":""गई"",""labels"":[""VERB""]},{""start"":114,""end"":116,""text"":""है"",""labels"":[""VERB""]}]",249.414,"DIG नीलेश आनंद भरने ने न्यूज एजेंसी PTI को बताया कि अकेले कुमाऊं क्षेत्र में मरने वालों की संख्या 40 के पार हो गई है।","2025-01-25T09:59:56.892775Z"
109,"1","2025-01-25T10:02:46.355697Z",228,"[{""start"":0,""end"":6,""text"":""भारतीय"",""labels"":[""ADJ""]},{""start"":7,""end"":14,""text"":""क्रिकेट"",""labels"":[""NOUN""]},{""start"":15,""end"":22,""text"":""कंट्रोल"",""labels"":[""NOUN""]},{""start"":23,""end"":28,""text"":""बोर्ड"",""labels"":[""NOUN""]},{""start"":30,""end"":34,""text"":""BCCI"",""labels"":[""PROPN""]},{""start"":36,""end"":38,""text"":""आज"",""labels"":[""ADV""]},{""start"":39,""end"":42,""text"":""IPL"",""labels"":[""PROPN""]},{""start"":43,""end"":45,""text"":""के"",""labels"":[""ADP""]},{""start"":46,""end"":51,""text"":""14वें"",""labels"":[""NUM""]},{""start"":52,""end"":56,""text"":""सीजन"",""labels"":[""NOUN""]},{""start"":57,""end"":59,""text"":""के"",""labels"":[""ADP""]},{""start"":60,""end"":64,""text"":""बाकी"",""labels"":[""ADJ""]},{""start"":65,""end"":68,""text"":""बचे"",""labels"":[""VERB""]},{""start"":69,""end"":71,""text"":""31"",""labels"":[""NUM""]},{""start"":72,""end"":77,""text"":""मैचों"",""labels"":[""NOUN""]},{""start"":78,""end"":80,""text"":""का"",""labels"":[""ADP""]},{""start"":81,""end"":88,""text"":""शेड्यूल"",""labels"":[""NOUN""]},{""start"":89,""end"":94,""text"":""घोषित"",""labels"":[""VERB""]},{""start"":95,""end"":97,""text"":""कर"",""labels"":[""VERB""]},{""start"":98,""end"":102,""text"":""सकता"",""labels"":[""VERB""]},{""start"":103,""end"":105,""text"":""है"",""labels"":[""VERB""]}]",157.281,"भारतीय क्रिकेट कंट्रोल बोर्ड (BCCI) आज IPL के 14वें सीजन के बाकी बचे 31 मैचों का शेड्यूल घोषित कर सकता है।","2025-01-25T10:02:46.355697Z"
110,"1","2025-01-25T10:05:52.799989Z",229,"[{""start"":0,""end"":9,""text"":""इंटरनेशनल"",""labels"":[""ADJ""]},{""start"":10,""end"":17,""text"":""क्रिकेट"",""labels"":[""NOUN""]},{""start"":18,""end"":25,""text"":""काउंसिल"",""labels"":[""NOUN""]},{""start"":27,""end"":30,""text"":""ICC"",""labels"":[""PROPN""]},{""start"":32,""end"":34,""text"":""ने"",""labels"":[""ADP""]},{""start"":35,""end"":39,""text"":""BCCI"",""labels"":[""PROPN""]},{""start"":40,""end"":42,""text"":""को"",""labels"":[""ADP""]},{""start"":43,""end"":49,""text"":""वर्ल्ड"",""labels"":[""NOUN""]},{""start"":50,""end"":52,""text"":""कप"",""labels"":[""NOUN""]},{""start"":53,""end"":55,""text"":""पर"",""labels"":[""ADP""]},{""start"":56,""end"":61,""text"":""फैसला"",""labels"":[""NOUN""]},{""start"":62,""end"":66,""text"":""करने"",""labels"":[""VERB""]},{""start"":67,""end"":69,""text"":""के"",""labels"":[""ADP""]},{""start"":70,""end"":73,""text"":""लिए"",""labels"":[""ADP""]},{""start"":74,""end"":76,""text"":""28"",""labels"":[""NUM""]},{""start"":77,""end"":80,""text"":""जून"",""labels"":[""PROPN""]},{""start"":81,""end"":83,""text"":""तक"",""labels"":[""ADP""]},{""start"":84,""end"":86,""text"":""का"",""labels"":[""ADP""]},{""start"":87,""end"":89,""text"":""ही"",""labels"":[""PART""]},{""start"":90,""end"":93,""text"":""समय"",""labels"":[""NOUN""]},{""start"":94,""end"":98,""text"":""दिया"",""labels"":[""VERB""]},{""start"":99,""end"":101,""text"":""है"",""labels"":[""VERB""]}]",184.43,"इंटरनेशनल क्रिकेट काउंसिल (ICC) ने BCCI को वर्ल्ड कप पर फैसला करने के लिए 28 जून तक का ही समय दिया है।","2025-01-25T10:05:52.799989Z"
